Ref,Val,Package,PosX,PosY,Rot,Side
"BL_GND1","MountingHole_Pad","Molex156Pin",96.135000,24.003991,0.000000,top
"BL_SIG1","MountingHole_Pad","Molex156Pin",96.134988,27.966390,0.000000,top
"C1","1.0uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",39.239000,90.679000,0.000000,top
"C2","10uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",48.383000,44.872000,90.000000,top
"C3","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",16.125000,89.877000,-90.000000,top
"C4","4.7uF","CP_Radial_D5.0mm_P2.00mm",10.410000,88.774000,0.000000,top
"C5","2.2uF","CP_Radial_D5.0mm_P2.00mm",46.605000,94.965000,-90.000000,top
"C6","10uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",66.925000,90.679000,-90.000000,top
"C7","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",33.270000,49.765000,-90.000000,top
"C8","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",45.970000,66.930000,180.000000,top
"C9","4.7uF","CP_Radial_D5.0mm_P2.00mm",31.441200,77.120800,-90.000000,top
"C10","4.7uF","CP_Radial_D5.0mm_P2.00mm",31.187200,84.425912,-90.000000,top
"C11","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",36.521200,77.120800,-90.000000,top
"C12","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",36.521200,84.974800,-90.000000,top
"C13","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",40.255000,77.120800,-90.000000,top
"C14","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",40.255000,84.974800,-90.000000,top
"C15","10uF","CP_Radial_D5.0mm_P2.00mm",44.700000,83.535000,-90.000000,top
"C16","10uF","CP_Radial_D5.0mm_P2.00mm",44.700000,63.120000,-90.000000,top
"C17","0.1uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",45.970000,87.250000,180.000000,top
"C18","10uF","CP_Radial_D5.0mm_P2.00mm",34.413000,54.992000,0.000000,top
"C19","1.0uF","C_Disc_D5.0mm_W2.5mm_P2.50mm",35.810000,91.060000,-90.000000,top
"C20","22uF","CP_Radial_D5.0mm_P2.00mm",31.238000,90.582800,-90.000000,top
