"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BL_GND1,Y_GND1,RE_SIG1,RE_GND1,Y_SIG1,BL_SIG1,GR_SIG1,X_SIG1,GR_GND1,X_GND1";"Molex156Pin";10;"MountingHole_Pad";;;
2;"IC4,IC3,IC5";"DIP-14_W7.62mm_Socket";3;"MCP4922-E/P";;;
3;"U5";"TO-220-3_Vertical";1;"LM2940T-5.0";;;
4;"R15,R16,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"15K";;;
5;"SW2,SW4,SW5,SW1,SW3";"SW_PUSH_6mm_H4.3mm";5;"SW_Push";;;
6;"R21,R17,R20,R19,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"75R";;;
7;"RV1,RV4,RV3,RV2";"Potentiometer_Bourns_3386P_Vertical";4;"20K";;;
8;"R4,R5,R25,R14,R3,R26,R9,R6,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";9;"10k";;;
9;"C18,C15,C16";"CP_Radial_D5.0mm_P2.00mm";3;"10uF";;;
10;"C22,C12,C7,C24,C3,C17,C23,C21,C26,C13,C8,C25,C11,C14";"C_Disc_D5.0mm_W2.5mm_P2.50mm";14;"0.1uF";;;
11;"R24,R23,R8,R27,R29,R7,R22,R31,R28,R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";10;"10K";;;
12;"R11,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"5K";;;
13;"C2,C27,C6";"C_Disc_D5.0mm_W2.5mm_P2.50mm";3;"10uF";;;
14;"C4,C10,C9";"CP_Radial_D5.0mm_P2.00mm";3;"4.7uF";;;
15;"TP1,TP3,J8,TP2";"PinHeader_1x01_P2.54mm_Vertical";4;"Conn_01x01_Male";;;
16;"C20";"CP_Radial_D5.0mm_P2.00mm";1;"22uF";;;
17;"J7";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
18;"IC1,IC6";"DIP-14_W7.62mm_Socket";2;"TL3474";;;
19;"J1";"PinHeader_1x24_P2.54mm_Vertical";1;"Conn_01x24_Male";;;
20;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
21;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1K";;;
22;"C5";"CP_Radial_D5.0mm_P2.00mm";1;"2.2uF";;;
23;"J6";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
24;"U3";"TO-92";1;"LP2950-3_3_TO92";;;
25;"C1,C19";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"1.0uF";;;
26;"J3";"PinHeader_1x25_P2.54mm_Vertical";1;"Conn_01x25_Male";;;
27;"L1";"L_Axial_L12.0mm_D5.0mm_P15.24mm_Horizontal_Fastron_MISC";1;"L";;;
28;"U1";"Teensy41";1;"Teensy4.1";;;
29;"IC2";"RECOM_0512D";1;"RB-0512D";;;
30;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Male";;;
